2024-12-04 08:35:10 INFO  Utils:112 - [TestNG] Running:
  C:\Workspace\19_05_2024\OpencartV121\Master.xml

2024-12-04 08:35:14 INFO  TC001_AccountRegistrationTest:15 - ***** Starting TC001_AccountRegistrationTest *****
2024-12-04 08:35:15 INFO  TC001_AccountRegistrationTest:20 - Clicked on MyAccount Link
2024-12-04 08:35:15 INFO  TC001_AccountRegistrationTest:23 - Clicked on Register Link
2024-12-04 08:35:15 INFO  TC001_AccountRegistrationTest:28 - Providing Customer details... 
2024-12-04 08:35:17 INFO  TC001_AccountRegistrationTest:42 - Validating Expected Message... 
2024-12-04 08:35:17 INFO  TC001_AccountRegistrationTest:60 - ***** Finished TC001_AccountRegistrationTest *****
2024-12-04 08:35:21 INFO  TC002_LoginTest:17 - ***** Starting TC002_LoginTest *****
2024-12-04 08:35:21 INFO  TC002_LoginTest:22 - Clicking on Home Page
2024-12-04 08:35:21 INFO  TC002_LoginTest:28 - Clicking on Login Page
2024-12-04 08:35:21 INFO  TC002_LoginTest:30 - Entering Email
2024-12-04 08:35:21 INFO  TC002_LoginTest:32 - Entering Password
2024-12-04 08:35:21 INFO  TC002_LoginTest:34 - Clicking on Login Button
2024-12-04 08:35:22 INFO  TC002_LoginTest:50 - ***** Finished TC002_LoginTest *****
